,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
72,71-72,8.70689786858225E-06,8.70689786858225E-06,8.70689786858225E-06,8.70689786858225E-06,8.70689786858225E-06,8.70689786858225E-06,8.70689786858225E-06
73,72-73,7.07208031958118E-06,7.07208031958118E-06,7.07208031958118E-06,7.07208031958118E-06,7.07208031958118E-06,7.07208031958118E-06,7.07208031958118E-06
74,73-74,5.73991339036795E-06,5.73991339036795E-06,5.73991339036795E-06,5.73991339036795E-06,5.73991339036795E-06,5.73991339036795E-06,5.73991339036795E-06
75,74-75,4.65528974147311E-06,4.65528974147311E-06,4.65528974147311E-06,4.65528974147311E-06,4.65528974147311E-06,4.65528974147311E-06,4.65528974147311E-06
76,75-76,3.77293883202512E-06,3.77293883202512E-06,3.77293883202512E-06,3.77293883202512E-06,3.77293883202512E-06,3.77293883202512E-06,3.77293883202512E-06
77,76-77,3.05571326242315E-06,3.05571326242315E-06,3.05571326242315E-06,3.05571326242315E-06,3.05571326242315E-06,3.05571326242315E-06,3.05571326242315E-06
78,77-78,2.47316459067726E-06,2.47316459067726E-06,2.47316459067726E-06,2.47316459067726E-06,2.47316459067726E-06,2.47316459067726E-06,2.47316459067726E-06
79,78-79,2.0003616781894E-06,2.0003616781894E-06,2.0003616781894E-06,2.0003616781894E-06,2.0003616781894E-06,2.0003616781894E-06,2.0003616781894E-06
80,79-80,1.61691180511347E-06,1.61691180511347E-06,1.61691180511347E-06,1.61691180511347E-06,1.61691180511347E-06,1.61691180511347E-06,1.61691180511347E-06
81,80-81,1.30615098237197E-06,1.30615098237197E-06,1.30615098237197E-06,1.30615098237197E-06,1.30615098237197E-06,1.30615098237197E-06,1.30615098237197E-06
82,81-82,1.05447517839696E-06,1.05447517839696E-06,1.05447517839696E-06,1.05447517839696E-06,1.05447517839696E-06,1.05447517839696E-06,1.05447517839696E-06
83,82-83,8.50788700379468E-07,8.50788700379468E-07,8.50788700379468E-07,8.50788700379468E-07,8.50788700379468E-07,8.50788700379468E-07,8.50788700379468E-07
84,83-84,6.8604980740794E-07,6.8604980740794E-07,6.8604980740794E-07,6.8604980740794E-07,6.8604980740794E-07,6.8604980740794E-07,6.8604980740794E-07
85,84-85,5.5289689215865E-07,5.5289689215865E-07,5.5289689215865E-07,5.5289689215865E-07,5.5289689215865E-07,5.5289689215865E-07,5.5289689215865E-07
86,85-86,4.45341323596082E-07,4.45341323596082E-07,4.45341323596082E-07,4.45341323596082E-07,4.45341323596082E-07,4.45341323596082E-07,4.45341323596082E-07
