,day,serial_interval
632,396-632,0
633,396-633,0
634,396-634,0
635,396-635,0
636,396-636,0
637,396-637,0
638,396-638,0
639,396-639,0
640,396-640,0
641,396-641,0
642,396-642,0
643,396-643,0
644,396-644,0
645,396-645,0
646,396-646,0
647,396-647,0
648,396-648,0
649,396-649,0
650,396-650,0
651,396-651,0
652,396-652,0
653,396-653,0
654,396-654,0
655,396-655,0
656,396-656,0
657,396-657,0
658,396-658,0
659,396-659,0
660,396-660,0
661,396-661,0
662,396-662,0
663,396-663,0
664,396-664,0
665,396-665,0
666,396-666,0
667,396-667,0
668,396-668,0
669,396-669,0
670,396-670,0
671,396-671,0
672,396-672,0
673,396-673,0
674,396-674,0
675,396-675,0
676,396-676,0
677,396-677,0
678,396-678,0
679,396-679,0
680,396-680,0
681,396-681,0
682,396-682,0
683,396-683,0
684,396-684,0
685,396-685,0
686,396-686,0
687,396-687,0
688,396-688,0
689,396-689,0
690,396-690,0
691,396-691,0
692,396-692,0
693,396-693,0
694,396-694,0
695,396-695,0
696,396-696,0
697,396-697,0
698,396-698,0
699,396-699,0
700,396-700,0
701,396-701,0
702,396-702,0
703,396-703,0
704,396-704,0
705,396-705,0
706,396-706,0
707,396-707,0
708,396-708,0
709,396-709,0
710,396-710,0
711,396-711,0
712,396-712,0
713,396-713,0
714,396-714,0
715,396-715,0
716,396-716,0
717,396-717,0
718,396-718,0
719,396-719,0
720,396-720,0
721,396-721,0
722,396-722,0
723,396-723,0
724,396-724,0
725,396-725,0
726,396-726,0
727,396-727,0
728,396-728,0
729,396-729,0
730,396-730,0
731,396-731,0
732,396-732,0
733,396-733,0
734,396-734,0
735,396-735,0
736,396-736,0
737,396-737,0
738,396-738,0
739,396-739,0
740,396-740,0
741,396-741,0
742,396-742,0
743,396-743,0
744,396-744,0
745,396-745,0
746,396-746,0
747,396-747,0
748,396-748,0
749,396-749,0
750,396-750,0
751,396-751,0
752,396-752,0
753,396-753,0
754,396-754,0
755,396-755,0
756,396-756,0
757,396-757,0
758,396-758,0
759,396-759,0
760,396-760,0
761,396-761,0
762,396-762,0
763,396-763,0
764,396-764,0
765,396-765,0
766,396-766,0
767,396-767,0
768,396-768,0
769,396-769,0
770,396-770,0
771,396-771,0
772,396-772,0
773,396-773,0
774,396-774,0
775,396-775,0
776,396-776,0
777,396-777,0
778,396-778,0
779,396-779,0
780,396-780,0
781,396-781,0
782,396-782,0
783,396-783,0
784,396-784,0
785,396-785,0
786,396-786,0
787,396-787,0
788,396-788,0
789,396-789,0
790,396-790,0
791,396-791,0
792,396-792,0
793,396-793,0
794,396-794,0
795,396-795,0
796,396-796,0
797,396-797,0
798,396-798,0
799,396-799,0
800,396-800,0
801,396-801,0
802,396-802,0
803,396-803,0
804,396-804,0
805,396-805,0
806,396-806,0
807,396-807,0
808,396-808,0
809,396-809,0
810,396-810,0
811,396-811,0
812,396-812,0
813,396-813,0
814,396-814,0
815,396-815,0
816,396-816,0
817,396-817,0
818,396-818,0
819,396-819,0
820,396-820,0
821,396-821,0
822,396-822,0
823,396-823,0
824,396-824,0
825,396-825,0
826,396-826,0
827,396-827,0
828,396-828,0
829,396-829,0
830,396-830,0
831,396-831,0
832,396-832,0
833,396-833,0
834,396-834,0
835,396-835,0
836,396-836,0
837,396-837,0
838,396-838,0
839,396-839,0
840,396-840,0
841,396-841,0
842,396-842,0
843,396-843,0
844,396-844,0
845,396-845,0
846,396-846,0
847,396-847,0
848,396-848,0
849,396-849,0
850,396-850,0
851,396-851,0
852,396-852,0
853,396-853,0
854,396-854,0
