country,date,repC_t,D_t,rho_period,weekday,alpha,delta,proportion_original,first_vaccination,second_vaccination,H_t,Hicu_t,ifr_t_m,closingSchools,restrictGatherings,lockdown,subsequentLockdown,generalBehavioralChanges,winter,spring,summer,autumn
Finland,2021-02-18,553,2,15,4,0.479906080139537,0,0.520093919860464,0.0283245808987555,0.00354717366083425,137,27,0.00723423971481999,0,0,0,0,1,1,0,0,0
Finland,2021-02-19,614,2,15,5,0.485597724371935,0,0.514402275628065,0.0283245808987555,0.00354717366083425,141,24,0.00724680909721675,0,0,0,0,1,1,0,0,0
Finland,2021-02-20,572,3,15,6,0.491293106629437,0,0.508706893370563,0.0283245808987555,0.00354717366083425,,,0.00726242349293258,0,0,0,0,1,1,0,0,0
Finland,2021-02-21,318,2,15,7,0.496990749899946,0,0.503009250100054,0.0323493730851327,0.00955615541238214,,,0.00715535550574845,0,0,0,0,1,1,0,0,0
Finland,2021-02-22,355,1,15,1,0.502689174823614,0,0.497310825176386,0.0323493730851327,0.00955615541238214,170,30,0.00717002921109193,0,0,0,0,1,1,0,0,0
Finland,2021-02-23,623,5,15,2,0.508386901228628,0,0.491613098771372,0.0323493730851327,0.00955615541238214,186,34,0.00718585392700067,0,0,0,0,1,1,0,0,0
Finland,2021-02-24,625,9,15,3,0.514082449668788,0,0.485917550331212,0.0323493730851327,0.00955615541238214,193,35,0.00720339442965781,0,0,0,0,1,1,0,0,0
Finland,2021-02-25,599,2,15,4,0.51977434295949,0,0.48022565704051,0.0323493730851327,0.00955615541238214,194,36,0.00722313231857839,0,0,0,0,1,1,0,0,0
Finland,2021-02-26,629,7,15,5,0.525461107708712,0,0.474538892291288,0.0323493730851327,0.00955615541238214,210,38,0.00724343729384493,0,0,0,0,1,1,0,0,0
Finland,2021-02-27,688,3,15,6,0.53114127583965,0,0.46885872416035,0.0323493730851327,0.00955615541238214,,,0.00726082640011174,0,0,0,0,1,1,0,0,0
Finland,2021-02-28,405,1,15,7,0.536813386101662,0,0.463186613898338,0.039448046008542,0.0125990360036054,,,0.00705595480407689,0,0,0,0,1,1,0,0,0
Finland,2021-03-01,422,1,16,1,0.542475985566219,0,0.457524014433782,0.039448046008542,0.0125990360036054,239,39,0.00707639322909638,0,0,0,0,1,0,1,0,0
Finland,2021-03-02,871,7,16,2,0.548127631104644,0,0.451872368895356,0.039448046008542,0.0125990360036054,247,39,0.00709718399146551,0,0,0,0,1,0,1,0,0
Finland,2021-03-03,756,2,16,3,0.553766890844458,0,0.446233109155542,0.039448046008542,0.0125990360036054,258,37,0.00711738721859225,0,0,0,0,1,0,1,0,0
Finland,2021-03-04,733,1,16,4,0.559392345601248,0,0.440607654398752,0.039448046008542,0.0125990360036054,245,39,0.00713921919460844,0,0,0,0,1,0,1,0,0
Finland,2021-03-05,638,2,16,5,0.565002590283061,0,0.434997409716939,0.039448046008542,0.0125990360036054,239,38,0.00716162160111897,0,0,0,0,1,0,1,0,0
Finland,2021-03-06,630,3,16,6,0.570596235264433,0,0.429403764735567,0.039448046008542,0.0125990360036054,,,0.00717884767866568,0,0,0,0,1,0,1,0,0
Finland,2021-03-07,433,1,16,7,0.576171907727258,0,0.423828092272742,0.0535341878439417,0.0137741578098469,,,0.00675607344975909,0,0,0,0,1,0,1,0,0
Finland,2021-03-08,396,2,16,1,0.581728252965849,0,0.418271747034151,0.0535341878439417,0.0137741578098469,251,37,0.00677563426733322,0,0,0,0,1,0,1,0,0
Finland,2021-03-09,834,9,16,2,0.587263935653642,0,0.412736064346358,0.0535341878439417,0.0137741578098469,248,40,0.0067952658246692,0,0,0,0,1,0,1,0,0
Finland,2021-03-10,771,4,16,3,0.592777641069159,0,0.407222358930841,0.0535341878439417,0.0137741578098469,256,43,0.00681646183872409,0,0,0,0,1,0,1,0,0
Finland,2021-03-11,822,4,16,4,0.598268076278976,0,0.401731923721025,0.0535341878439417,0.0137741578098469,260,41,0.00685104289135203,0,0,0,0,1,0,1,0,0
Finland,2021-03-12,780,4,16,5,0.603733971275592,0,0.396266028724408,0.0535341878439417,0.0137741578098469,264,47,0.00689230436261193,0,0,0,0,1,0,1,0,0
Finland,2021-03-13,808,4,16,6,0.609174080068267,0,0.390825919931733,0.0535341878439417,0.0137741578098469,,,0.00692182074193376,0,0,0,0,1,0,1,0,0
Finland,2021-03-14,495,4,16,7,0.614587181725038,0,0.385412818274962,0.0705545295268278,0.0153229034664471,,,0.00642190306502788,0,0,0,0,1,0,1,0,0
Finland,2021-03-15,435,0,16,1,0.619972081364306,0,0.380027918635694,0.0705545295268278,0.0153229034664471,274,50,0.00644286048307949,0,0,0,0,1,0,1,0,0
Finland,2021-03-16,892,1,16,2,0.625327611094544,0,0.374672388905456,0.0705545295268278,0.0153229034664471,283,49,0.00646989602214086,0,0,0,0,1,0,1,0,0
Finland,2021-03-17,767,1,16,3,0.630652630900867,0,0.369347369099133,0.0705545295268278,0.0153229034664471,278,56,0.00650070073639642,0,0,0,0,1,0,1,0,0
Finland,2021-03-18,743,3,16,4,0.635946029477335,0.000315071774917955,0.363738898747747,0.0705545295268278,0.0153229034664471,275,50,0.00654380818818294,0,0,0,0,1,0,1,0,0
Finland,2021-03-19,739,4,16,5,0.641206725004097,0.000346568479870444,0.358446706516033,0.0705545295268278,0.0153229034664471,271,55,0.00659976202603489,0,0,0,0,1,0,1,0,0
Finland,2021-03-20,745,7,16,6,0.646433665868599,0.000381212607739035,0.353185121523662,0.0705545295268278,0.0153229034664471,,,0.00664492381425462,0,0,0,0,1,0,1,0,0
Finland,2021-03-21,404,4,16,7,0.651625831330288,0.000419318424187133,0.347954850245525,0.09050168148756,0.0159119062368148,,,0.00609461359749901,0,0,0,0,1,0,1,0,0
Finland,2021-03-22,420,0,16,1,0.656782232128398,0.000461231520954862,0.342756536350647,0.09050168148756,0.0159119062368148,306,55,0.00611773770900968,0,0,0,0,1,0,1,0,0
Finland,2021-03-23,768,6,16,2,0.661901911032583,0.00050733192734607,0.337590757040071,0.09050168148756,0.0159119062368148,302,64,0.00614999434991978,0,0,0,0,1,0,1,0,0
Finland,2021-03-24,703,5,16,3,0.66698394333632,0.000558037528434148,0.332458019135246,0.09050168148756,0.0159119062368148,295,62,0.00617980005102474,0,0,0,0,1,0,1,0,0
Finland,2021-03-25,695,4,16,4,0.672027437293169,0.000613807819731268,0.3273587548871,0.09050168148756,0.0159119062368148,287,59,0.00622254333045948,0,0,0,0,1,0,1,0,0
Finland,2021-03-26,606,2,16,5,0.677031534496143,0.00067514803084638,0.322293317473011,0.09050168148756,0.0159119062368148,313,59,0.00628130532191175,0,0,0,0,1,0,1,0,0
Finland,2021-03-27,688,3,16,6,0.681995410200573,0.00074261365367595,0.317261976145751,0.09050168148756,0.0159119062368148,,,0.00632904192325817,0,0,0,0,1,0,1,0,0
Finland,2021-03-28,352,4,16,7,0.686918273591028,0.000816815413943233,0.312264910995029,0.112729867432923,0.0160771802699932,,,0.00573711765257585,0,0,0,0,1,0,1,0,0
Finland,2021-03-29,375,1,16,1,0.691799367992962,0.000898424728442177,0.307302207278596,0.112729867432923,0.0160771802699932,313,54,0.00575002663340033,0,0,0,0,1,0,1,0,0
Finland,2021-03-30,655,3,16,2,0.696637971029924,0.000988179694165665,0.30237384927591,0.112729867432923,0.0160771802699932,304,50,0.00574478485498238,0,0,0,0,1,0,1,0,0
Finland,2021-03-31,572,2,16,3,0.701433394727268,0.0010868916596183,0.297479713613114,0.112729867432923,0.0160771802699932,295,50,0.0057400036973195,0,0,0,0,1,0,1,0,0
Finland,2021-04-01,550,1,17,4,0.70618498556343,0.00119545243304373,0.292619562003526,0.112729867432923,0.0160771802699932,264,52,0.00573903287255089,0,0,0,0,1,0,1,0,0
Finland,2021-04-02,486,2,17,5,0.710892124469978,0.00131484218704516,0.287793033342977,0.112729867432923,0.0160771802699932,,,0.00576179095497477,0,0,0,0,1,0,1,0,0
Finland,2021-04-03,361,2,17,6,0.715554226781688,0.00144613812415189,0.282999635094161,0.112729867432923,0.0160771802699932,,,0.00579353620343124,0,0,0,0,1,0,1,0,0
Finland,2021-04-04,324,3,17,7,0.720170742138064,0.00159052397328654,0.27823873388865,0.135506323398928,0.0162956231579019,,,0.00517625941408371,0,0,0,0,1,0,1,0,0
Finland,2021-04-05,322,1,17,1,0.72474115433776,0.00174930039281335,0.273509545269426,0.135506323398928,0.0162956231579019,,,0.00519361446157739,0,0,0,0,1,0,1,0,0
Finland,2021-04-06,360,0,17,2,0.729264981147465,0.00192389636188556,0.26881112249065,0.135506323398928,0.0162956231579019,249,45,0.00522374433073634,0,0,0,0,1,0,1,0,0
Finland,2021-04-07,544,1,17,3,0.733741774066882,0.00211588164813926,0.264142344284979,0.135506323398928,0.0162956231579019,250,45,0.00525686998982887,0,0,0,0,1,0,1,0,0
Finland,2021-04-08,426,4,17,4,0.738171118051503,0.00232698044636704,0.25950190150213,0.135506323398928,0.0162956231579019,235,42,0.0053054115385712,0,0,0,0,1,0,1,0,0
Finland,2021-04-09,407,1,17,5,0.742552631194923,0.0025590862895988,0.254888282515478,0.135506323398928,0.0162956231579019,224,41,0.00536188790911312,0,0,0,0,1,0,1,0,0
Finland,2021-04-10,352,2,17,6,0.746885964372503,0.00281427834095014,0.250299757286547,0.135506323398928,0.0162956231579019,,,0.00540366174427337,0,0,0,0,1,0,1,0,0
Finland,2021-04-11,227,2,17,7,0.751170800848221,0.00309483918157692,0.245734359970202,0.155244224375451,0.0164780193646376,,,0.0048919271916368,0,0,0,0,1,0,1,0,0
Finland,2021-04-12,240,0,17,1,0.755406855846594,0.00340327421697632,0.241189869936429,0.155244224375451,0.0164780193646376,185,42,0.00492913004611193,0,0,0,0,1,0,1,0,0
Finland,2021-04-13,399,1,17,2,0.759593876091571,0.00374233283053946,0.23666379107789,0.155244224375451,0.0164780193646376,182,38,0.00497940873965807,0,0,0,0,1,0,1,0,0
Finland,2021-04-14,323,4,17,3,0.763731639314311,0.00411503141948697,0.232153329266203,0.155244224375451,0.0164780193646376,180,34,0.00502480172191796,0,0,0,0,1,0,1,0,0
Finland,2021-04-15,344,1,17,4,0.767819953731796,0.00452467845384828,0.227655367814356,0.155244224375451,0.0164780193646376,161,37,0.00507832595518021,0,0,0,0,1,0,1,0,0
Finland,2021-04-16,274,2,17,5,0.771858657498207,0.00497490170366056,0.223166440798132,0.155244224375451,0.0164780193646376,161,34,0.00512955526233254,0,0,0,0,1,0,1,0,0
Finland,2021-04-17,265,5,17,6,0.775847618130993,0.00546967778266432,0.218682704086342,0.155244224375451,0.0164780193646376,,,0.00516390652985139,0,0,0,0,1,0,1,0,0
Finland,2021-04-18,172,2,17,7,0.779786731913575,0.00601336415797531,0.21419990392845,0.179101720309836,0.0167141251263211,,,0.0045650169904188,0,0,0,0,1,0,1,0,0
Finland,2021-04-19,156,0,17,1,0.783675923276587,0.00661073377392122,0.209713342949492,0.179101720309836,0.0167141251263211,166,34,0.00458752917938621,0,0,0,0,1,0,1,0,0
Finland,2021-04-20,286,3,17,2,0.78751514415956,0.0072670124337262,0.205217843406714,0.179101720309836,0.0167141251263211,163,36,0.00462998870917517,0,0,0,0,1,0,1,0,0
Finland,2021-04-21,286,1,18,3,0.791304373354905,0.00798791907414252,0.200707707570952,0.179101720309836,0.0167141251263211,142,35,0.00467805361280128,0,0,0,0,1,0,1,0,0
Finland,2021-04-22,233,2,18,4,0.795043615836045,0.00877970905442941,0.196176675109526,0.179101720309836,0.0167141251263211,129,37,0.00473937838257924,0,0,0,0,1,0,1,0,0
Finland,2021-04-23,256,0,18,5,0.798732902071498,0.00964922056103811,0.191617877367464,0.179101720309836,0.0167141251263211,132,31,0.00481306724197766,0,0,0,0,1,0,1,0,0
Finland,2021-04-24,255,1,18,6,0.802372287326677,0.0106039242015292,0.187023788471793,0.179101720309836,0.0167141251263211,,,0.00485724538640558,0,0,0,0,1,0,1,0,0
Finland,2021-04-25,154,1,18,7,0.805961850955141,0.0116519758239313,0.182386173220928,0.209253147010441,0.0178919504336506,,,0.0041278461534758,0,0,0,0,1,0,1,0,0
Finland,2021-04-26,140,0,18,1,0.809501695680951,0.0128022725489826,0.177696031770066,0.209253147010441,0.0178919504336506,136,33,0.00417723784376552,0,0,0,0,1,0,1,0,0
Finland,2021-04-27,242,3,18,2,0.812991946873803,0.0140645119402212,0.172943541185976,0.209253147010441,0.0178919504336506,132,32,0.00423839342958299,0,0,0,0,1,0,1,0,0
Finland,2021-04-28,229,2,18,3,0.81643275181847,0.0154492541581314,0.168117994023398,0.209253147010441,0.0178919504336506,133,33,0.00429523005018262,0,0,0,0,1,0,1,0,0
Finland,2021-04-29,274,2,18,4,0.81982427898012,0.0169679868466276,0.163207734173253,0.209253147010441,0.0178919504336506,125,32,0.00435867263758074,0,0,0,0,1,0,1,0,0
Finland,2021-04-30,201,1,18,5,0.823166717266945,0.0186331923798506,0.158200090353205,0.209253147010441,0.0178919504336506,126,31,0.00442531856279496,0,0,0,0,1,0,1,0,0
Finland,2021-05-01,197,2,18,6,0.82646027529154,0.0204584169510822,0.153081307757378,0.209253147010441,0.0178919504336506,,,0.00446818039386329,0,0,0,0,1,0,1,0,0
Finland,2021-05-02,109,0,18,7,0.829705180632365,0.0224583408098118,0.147836478557823,0.246084384199226,0.0234557556727113,,,0.00361533359541827,0,0,0,0,1,0,1,0,0
Finland,2021-05-03,135,2,18,1,0.832901679096589,0.0246488487437665,0.142449472159645,0.246084384199226,0.0234557556727113,120,28,0.00366267827486437,0,0,0,0,1,0,1,0,0
Finland,2021-05-04,316,0,18,2,0.836050033985548,0.02704709965617,0.136902866358282,0.246084384199226,0.0234557556727113,128,29,0.00371811331957855,0,0,0,0,1,0,1,0,0
Finland,2021-05-05,206,0,18,3,0.839150525363986,0.0296715938009984,0.131177880835016,0.246084384199226,0.0234557556727113,130,24,0.00377279860982802,0,0,0,0,1,0,1,0,0
Finland,2021-05-06,265,1,18,4,0.842203449334183,0.0325422359074282,0.125254314758389,0.246084384199226,0.0234557556727113,127,27,0.00383203230417372,0,0,0,0,1,0,1,0,0
Finland,2021-05-07,239,2,18,5,0.845209117316016,0.0356803920468171,0.119110490637167,0.246084384199226,0.0234557556727113,133,28,0.00389600834010032,0,0,0,0,1,0,1,0,0
Finland,2021-05-08,214,1,18,6,0.848167855333942,0.0391089376706703,0.112723206995388,0.246084384199226,0.0234557556727113,,,0.00394285561959273,0,0,0,0,1,0,1,0,0
Finland,2021-05-09,134,0,18,7,0.851080003311809,0.0428522937774641,0.106067702910727,0.280594755820683,0.0289202523051402,,,0.00322811808471192,0,0,0,0,1,0,1,0,0
Finland,2021-05-10,130,0,18,1,0.853945914376379,0.0469364476542242,0.0991176379693968,0.280594755820683,0.0289202523051402,121,26,0.0032320582879709,0,0,0,0,1,0,1,0,0
Finland,2021-05-11,257,1,18,2,0.856765954170342,0.051388954093606,0.091845091736052,0.280594755820683,0.0289202523051402,114,26,0.0032950736507089,0,0,0,0,1,0,1,0,0
Finland,2021-05-12,215,1,18,3,0.859540500175573,0.0562389124222297,0.0842205874021974,0.280594755820683,0.0289202523051402,114,24,0.00336063511097665,0,0,0,0,1,0,1,0,0
Finland,2021-05-13,256,2,18,4,0.862269941047313,0.0615169141108811,0.0762131448418065,0.280594755820683,0.0289202523051402,,,0.00343523855088445,0,0,0,0,1,0,1,0,0
Finland,2021-05-14,157,2,18,5,0.864954675959899,0.0672549551994087,0.0677903688406919,0.280594755820683,0.0289202523051402,122,28,0.00351602331616043,0,0,0,0,1,0,1,0,0
Finland,2021-05-15,249,5,18,6,0.86759511396462,0.0734863072953348,0.0589185787400452,0.280594755820683,0.0289202523051402,,,0.00356450717124002,0,0,0,0,1,0,1,0,0
Finland,2021-05-16,164,6,18,7,0.870191673360197,0.0802453405423398,0.0495629860974637,0.316084335536206,0.0320871334795988,,,0.00304348328732748,0,0,0,0,1,0,1,0,0
