country,date,proportion_alpha,proportion_delta,proportion_original
Germany,2021-06-16,0.637013357124377,0.362986642875623,5.55111512312578e-17
Germany,2021-06-17,0.611272021474256,0.388727978525744,-5.55111512312578e-17
Germany,2021-06-18,0.584894775040219,0.415105224959781,0
Germany,2021-06-19,0.558021827629138,0.441978172370862,0
Germany,2021-06-20,0.530804747290731,0.469195252709269,0
Germany,2021-06-21,0.503403175500339,0.496596824499661,0
Germany,2021-06-22,0.475981145410498,0.524018854589502,0
Germany,2021-06-23,0.448703179896321,0.551296820103679,0
Germany,2021-06-24,0.421730364860499,0.578269635139501,0
Germany,2021-06-25,0.39521659538914,0.60478340461086,0
Germany,2021-06-26,0.369305177583904,0.630694822416096,0
Germany,2021-06-27,0.344125939142173,0.655874060857827,0
Germany,2021-06-28,0.319792960754653,0.680207039245347,0
Germany,2021-06-29,0.296402993060568,0.703597006939432,0
Germany,2021-06-30,0.274034575533938,0.725965424466062,0
Germany,2021-07-01,0.252747829129062,0.747252170870938,0
Germany,2021-07-02,0.232584857586251,0.767415142413749,0
Germany,2021-07-03,0.213570665360074,0.786429334639926,0
Germany,2021-07-04,0.195714484045667,0.804285515954333,0
Germany,2021-07-05,0.179011393470822,0.820988606529178,0
Germany,2021-07-06,0.163444126815838,0.836555873184162,0
Germany,2021-07-07,0.148984959143322,0.851015040856678,0
Germany,2021-07-08,0.135597593280788,0.864402406719212,0
Germany,2021-07-09,0.123238973922041,0.876761026077959,0
Germany,2021-07-10,0.111860978245652,0.888139021754349,0
Germany,2021-07-11,0.101411947873061,0.898588052126939,0
Germany,2021-07-12,0.0918380416498206,0.908161958350179,0
Germany,2021-07-13,0.0830844009987905,0.91691559900121,0
Germany,2021-07-14,0.0750961292794572,0.924903870720543,0
Germany,2021-07-15,0.0678190937664329,0.932180906233567,0
Germany,2021-07-16,0.0612005637761532,0.938799436223847,0
Germany,2021-07-17,0.0551897014611995,0.9448102985388,0
Germany,2021-07-18,0.0497379232284191,0.950262076771581,0
Germany,2021-07-19,0.044799149984354,0.955200850015646,0
Germany,2021-07-20,0.0403299637995456,0.959670036200454,0
Germany,2021-07-21,0.0362896873939731,0.963710312606027,0
Germany,2021-07-22,0.0326404013081394,0.967359598691861,0
Germany,2021-07-23,0.029346911915667,0.970653088084333,0
Germany,2021-07-24,0.0263766816847528,0.973623318315247,0
Germany,2021-07-25,0.0236997313992382,0.976300268600762,0
Germany,2021-07-26,0.0212885224651665,0.978711477534833,0
Germany,2021-07-27,0.019117825990529,0.980882174009471,0
Germany,2021-07-28,0.017164584050946,0.982835415949054,0
Germany,2021-07-29,0.0154077674456524,0.984592232554348,0
Germany,2021-07-30,0.0138282333007275,0.986171766699272,0
Germany,2021-07-31,0.0124085850788963,0.987591414921104,0
Germany,2021-08-01,0.0111330368931126,0.988866963106887,0
Germany,2021-08-02,0.00998728347886024,0.99001271652114,0
Germany,2021-08-03,0.00895837674192745,0.991041623258073,0
Germany,2021-08-04,0.00803460944922341,0.991965390550777,0
Germany,2021-08-05,0.00720540635608136,0.992794593643919,0
Germany,2021-08-06,0.00646122285190365,0.993538777148096,0
Germany,2021-08-07,0.00579345104593643,0.994206548954064,0
Germany,2021-08-08,0.00519433309684447,0.994805666903155,0
Germany,2021-08-09,0.00465688150546728,0.995343118494533,0
Germany,2021-08-10,0.00417480603279352,0.995825193967207,0
Germany,2021-08-11,0.00374244686906133,0.996257553130939,0
Germany,2021-08-12,0.00335471366026308,0.996645286339737,0
Germany,2021-08-13,0.00300702999131441,0.996992970008686,0
Germany,2021-08-14,0.00269528292762045,0.99730471707238,0
Germany,2021-08-15,0.00241577722619957,0.9975842227738,0
Germany,2021-08-16,0.00216519384191161,0.997834806158088,0
Germany,2021-08-17,0.00194055237209168,0.998059447627908,0
Germany,2021-08-18,0.00173917710277438,0.998260822897226,0
Germany,2021-08-19,0.0015586663407714,0.998441333659229,0
Germany,2021-08-20,0.00139686473738154,0.998603135262618,0
Germany,2021-08-21,0.00125183833095865,0.998748161669041,0
Germany,2021-08-22,0.00112185205652593,0.998878147943474,0
Germany,2021-08-23,0.00100534949082243,0.998994650509178,0
Germany,2021-08-24,0.000900934620421179,0.999099065379579,0
Germany,2021-08-25,0.000807355438740554,0.99919264456126,0
Germany,2021-08-26,0.000723489194815907,0.999276510805184,0
Germany,2021-08-27,0.000648329132573733,0.999351670867426,0
Germany,2021-08-28,0.00058097257408285,0.999419027425917,0
Germany,2021-08-29,0.00052061021383476,0.999479389786165,0
Germany,2021-08-30,0.000466516503610404,0.99953348349639,0
Germany,2021-08-31,0.000418041018939275,0.999581958981061,0
Germany,2021-09-01,0.000374600708631712,0.999625399291368,0
Germany,2021-09-02,0.000335672938419851,0.99966432706158,0
Germany,2021-09-03,0.000300789248426026,0.999699210751574,0
Germany,2021-09-04,0.000269529752089381,0.999730470247911,0
Germany,2021-09-05,0.000241518111333883,0.999758481888666,0
Germany,2021-09-06,0.000216417029260452,0.999783582970739,0
Germany,2021-09-07,0.000193924207509855,0.99980607579249,0
Germany,2021-09-08,0.000173768720758583,0.999826231279241,0
Germany,2021-09-09,0.000155707765597146,0.999844292234403,0
Germany,2021-09-10,0.000139523745361636,0.999860476254638,0
Germany,2021-09-11,0.000125021656395941,0.999874978343604,0
Germany,2021-09-12,0.000112026744721994,0.999887973255278,0
Germany,2021-09-13,0.000100382405267219,0.999899617594733,0
Germany,2021-09-14,8.99482986385092e-05,0.999910051701361,0
Germany,2021-09-15,8.0598662989706e-05,0.99991940133701,0
Germany,2021-09-16,7.22208008407943e-05,0.999927779199159,0
Germany,2021-09-17,6.47137227602901e-05,0.99993528627724,0
Germany,2021-09-18,5.79869316950088e-05,0.999942013068305,0
Germany,2021-09-19,5.19593333948576e-05,0.999948040666605,0
Germany,2021-09-20,4.65582598744296e-05,0.999953441740126,0
Germany,2021-09-21,4.17185942129805e-05,0.999958281405787,0
