,day,incubation_period
597,399-597,0
598,399-598,0
599,399-599,0
600,399-600,0
601,399-601,0
602,399-602,0
603,399-603,0
604,399-604,0
605,399-605,0
606,399-606,0
607,399-607,0
608,399-608,0
609,399-609,0
610,399-610,0
611,399-611,0
612,399-612,0
613,399-613,0
614,399-614,0
615,399-615,0
616,399-616,0
617,399-617,0
618,399-618,0
619,399-619,0
620,399-620,0
621,399-621,0
622,399-622,0
623,399-623,0
624,399-624,0
625,399-625,0
626,399-626,0
627,399-627,0
628,399-628,0
629,399-629,0
630,399-630,0
631,399-631,0
632,399-632,0
633,399-633,0
634,399-634,0
635,399-635,0
636,399-636,0
637,399-637,0
638,399-638,0
639,399-639,0
640,399-640,0
641,399-641,0
642,399-642,0
643,399-643,0
644,399-644,0
645,399-645,0
646,399-646,0
647,399-647,0
648,399-648,0
649,399-649,0
650,399-650,0
651,399-651,0
652,399-652,0
653,399-653,0
654,399-654,0
655,399-655,0
656,399-656,0
657,399-657,0
658,399-658,0
659,399-659,0
660,399-660,0
661,399-661,0
662,399-662,0
663,399-663,0
664,399-664,0
665,399-665,0
666,399-666,0
667,399-667,0
668,399-668,0
669,399-669,0
670,399-670,0
671,399-671,0
672,399-672,0
673,399-673,0
674,399-674,0
675,399-675,0
676,399-676,0
677,399-677,0
678,399-678,0
679,399-679,0
680,399-680,0
681,399-681,0
682,399-682,0
683,399-683,0
684,399-684,0
685,399-685,0
686,399-686,0
687,399-687,0
688,399-688,0
689,399-689,0
690,399-690,0
691,399-691,0
692,399-692,0
693,399-693,0
694,399-694,0
695,399-695,0
696,399-696,0
697,399-697,0
698,399-698,0
699,399-699,0
700,399-700,0
701,399-701,0
702,399-702,0
703,399-703,0
704,399-704,0
705,399-705,0
706,399-706,0
707,399-707,0
708,399-708,0
709,399-709,0
710,399-710,0
711,399-711,0
712,399-712,0
713,399-713,0
714,399-714,0
715,399-715,0
716,399-716,0
717,399-717,0
718,399-718,0
719,399-719,0
720,399-720,0
721,399-721,0
722,399-722,0
723,399-723,0
724,399-724,0
725,399-725,0
726,399-726,0
727,399-727,0
728,399-728,0
729,399-729,0
730,399-730,0
731,399-731,0
732,399-732,0
733,399-733,0
734,399-734,0
735,399-735,0
736,399-736,0
737,399-737,0
738,399-738,0
739,399-739,0
740,399-740,0
741,399-741,0
742,399-742,0
743,399-743,0
744,399-744,0
745,399-745,0
746,399-746,0
747,399-747,0
748,399-748,0
749,399-749,0
750,399-750,0
751,399-751,0
752,399-752,0
753,399-753,0
754,399-754,0
755,399-755,0
756,399-756,0
757,399-757,0
758,399-758,0
759,399-759,0
760,399-760,0
761,399-761,0
762,399-762,0
763,399-763,0
764,399-764,0
765,399-765,0
766,399-766,0
767,399-767,0
768,399-768,0
769,399-769,0
770,399-770,0
771,399-771,0
772,399-772,0
773,399-773,0
774,399-774,0
775,399-775,0
776,399-776,0
777,399-777,0
778,399-778,0
779,399-779,0
780,399-780,0
781,399-781,0
782,399-782,0
783,399-783,0
784,399-784,0
785,399-785,0
786,399-786,0
787,399-787,0
788,399-788,0
789,399-789,0
790,399-790,0
791,399-791,0
792,399-792,0
793,399-793,0
794,399-794,0
795,399-795,0
796,399-796,0
797,399-797,0
798,399-798,0
799,399-799,0
800,399-800,0
801,399-801,0
802,399-802,0
803,399-803,0
804,399-804,0
805,399-805,0
806,399-806,0
807,399-807,0
808,399-808,0
809,399-809,0
810,399-810,0
811,399-811,0
812,399-812,0
813,399-813,0
814,399-814,0
815,399-815,0
816,399-816,0
817,399-817,0
818,399-818,0
819,399-819,0
820,399-820,0
821,399-821,0
822,399-822,0
823,399-823,0
824,399-824,0
825,399-825,0
826,399-826,0
827,399-827,0
828,399-828,0
829,399-829,0
830,399-830,0
831,399-831,0
832,399-832,0
833,399-833,0
834,399-834,0
835,399-835,0
836,399-836,0
837,399-837,0
838,399-838,0
839,399-839,0
840,399-840,0
841,399-841,0
842,399-842,0
843,399-843,0
844,399-844,0
845,399-845,0
846,399-846,0
847,399-847,0
848,399-848,0
849,399-849,0
850,399-850,0
851,399-851,0
852,399-852,0
853,399-853,0
854,399-854,0
855,399-855,0
856,399-856,0
857,399-857,0
858,399-858,0
859,399-859,0
860,399-860,0
861,399-861,0
862,399-862,0
863,399-863,0
864,399-864,0
865,399-865,0
866,399-866,0
867,399-867,0
868,399-868,0
869,399-869,0
870,399-870,0
871,399-871,0
872,399-872,0
873,399-873,0
874,399-874,0
875,399-875,0
876,399-876,0
877,399-877,0
878,399-878,0
879,399-879,0
880,399-880,0
881,399-881,0
882,399-882,0
883,399-883,0
884,399-884,0
885,399-885,0
886,399-886,0
887,399-887,0
888,399-888,0
889,399-889,0
890,399-890,0
891,399-891,0
892,399-892,0
893,399-893,0
894,399-894,0
895,399-895,0
896,399-896,0
897,399-897,0
898,399-898,0
899,399-899,0
900,399-900,0
